yr,slr,gs,rho,sscfactor,dP,dM,A,z0,end_z,inundation hours
20,0.025,0.035,1400,1.25,0,0.002,0.7,0.65,2.5250648544540155,46
20,0.025,0.035,1400,1.5,0,0.002,0.7,0.65,2.546340226896929,37
20,0.025,0.035,1400,1.75,0,0.002,0.7,0.65,2.5602598085211117,32
20,0.025,0.035,1400,2.0,0,0.002,0.7,0.65,2.581186080497822,27
20,0.025,0.035,1400,2.25,0,0.002,0.7,0.65,2.591155373596163,23
20,0.025,0.035,1400,2.5,0,0.002,0.7,0.65,2.6024146253287905,20
20,0.025,0.035,1400,2.75,0,0.002,0.7,0.65,2.613594827176388,20
20,0.025,0.035,1400,3.0,0,0.002,0.7,0.65,2.6225958942054794,19
20,0.0275,0.035,1400,0.25,0,0.002,0.7,0.65,2.2404656164717984,359
20,0.0275,0.035,1400,0.5,0,0.002,0.7,0.65,2.4227629298110145,157
20,0.0275,0.035,1400,0.75,0,0.002,0.7,0.65,2.4966677634076406,93
20,0.0275,0.035,1400,1.0,0,0.002,0.7,0.65,2.532099941879528,66
20,0.0275,0.035,1400,1.25,0,0.002,0.7,0.65,2.5613625283239863,50
20,0.0275,0.035,1400,1.5,0,0.002,0.7,0.65,2.586287646264399,40
20,0.0275,0.035,1400,1.75,0,0.002,0.7,0.65,2.6007816714358922,35
20,0.0275,0.035,1400,2.0,0,0.002,0.7,0.65,2.6147197139120877,29
20,0.0275,0.035,1400,2.25,0,0.002,0.7,0.65,2.6313342165787748,25
20,0.0275,0.035,1400,2.5,0,0.002,0.7,0.65,2.643067626773014,22
20,0.0275,0.035,1400,2.75,0,0.002,0.7,0.65,2.6533436911009076,20
20,0.0275,0.035,1400,3.0,0,0.002,0.7,0.65,2.662267562424529,20
20,0.03,0.035,1400,0.25,0,0.002,0.7,0.65,2.2741461017834568,375
20,0.03,0.035,1400,0.5,0,0.002,0.7,0.65,2.459938699565075,164
20,0.03,0.035,1400,0.75,0,0.002,0.7,0.65,2.5323012096413584,99
20,0.03,0.035,1400,1.0,0,0.002,0.7,0.65,2.573852519862245,74
20,0.03,0.035,1400,1.25,0,0.002,0.7,0.65,2.600853773696783,57
20,0.03,0.035,1400,1.5,0,0.002,0.7,0.65,2.6248404498129836,46
20,0.03,0.035,1400,1.75,0,0.002,0.7,0.65,2.6437891137226885,39
20,0.03,0.035,1400,2.0,0,0.002,0.7,0.65,2.6541203942718927,34
20,0.03,0.035,1400,2.25,0,0.002,0.7,0.65,2.6699931369171597,29
20,0.03,0.035,1400,2.5,0,0.002,0.7,0.65,2.6816549595639714,24
20,0.03,0.035,1400,2.75,0,0.002,0.7,0.65,2.6942675908298597,22
20,0.03,0.035,1400,3.0,0,0.002,0.7,0.65,2.7037451350709496,20
