yr,slr,gs,rho,sscfactor,dP,dM,A,z0,end_z,recovery_time
20,0.0075,0.035,1400,1.25,0,0.003,0.7,0.65,2.271071501554353,69865200.0
20,0.0075,0.035,1400,1.5,0,0.003,0.7,0.65,2.2941422412936,47098800.0
20,0.0075,0.035,1400,1.75,0,0.003,0.7,0.65,2.3029269168796427,43131600.0
20,0.0075,0.035,1400,2.0,0,0.003,0.7,0.65,2.3193765209732646,40579200.0
20,0.0075,0.035,1400,2.25,0,0.003,0.7,0.65,2.3301467801251277,38343600.0
20,0.0075,0.035,1400,2.5,0,0.003,0.7,0.65,2.335050024761097,36910800.0
20,0.0075,0.035,1400,2.75,0,0.003,0.7,0.65,2.3425889513837146,33328800.0
20,0.0075,0.035,1400,3.0,0,0.003,0.7,0.65,2.349494422061107,29080800.0
20,0.01,0.035,1400,0.25,0,0.003,0.7,0.65,2.012197488318629,381254400.0
20,0.01,0.035,1400,0.5,0,0.003,0.7,0.65,2.1756259437012755,169351200.0
20,0.01,0.035,1400,0.75,0,0.003,0.7,0.65,2.2392802763285844,106880400.0
20,0.01,0.035,1400,1.0,0,0.003,0.7,0.65,2.2740335071842894,76482000.0
20,0.01,0.035,1400,1.25,0,0.003,0.7,0.65,2.304544859510994,69998400.0
20,0.01,0.035,1400,1.5,0,0.003,0.7,0.65,2.3261478334750665,47185200.0
20,0.01,0.035,1400,1.75,0,0.003,0.7,0.65,2.3426180126912475,43164000.0
20,0.01,0.035,1400,2.0,0,0.003,0.7,0.65,2.351025727006084,40615200.0
20,0.01,0.035,1400,2.25,0,0.003,0.7,0.65,2.365227565138956,38386800.0
20,0.01,0.035,1400,2.5,0,0.003,0.7,0.65,2.3730423705600123,36997200.0
20,0.01,0.035,1400,2.75,0,0.003,0.7,0.65,2.379808790093582,33681600.0
20,0.01,0.035,1400,3.0,0,0.003,0.7,0.65,2.3838795965677138,29062800.0
20,0.0125,0.035,1400,0.25,0,0.003,0.7,0.65,2.0446649611451155,388634400.0
20,0.0125,0.035,1400,0.5,0,0.003,0.7,0.65,2.209382072943654,170121600.0
20,0.0125,0.035,1400,0.75,0,0.003,0.7,0.65,2.2716020196663895,107064000.0
20,0.0125,0.035,1400,1.0,0,0.003,0.7,0.65,2.3082711761339363,77425200.0
20,0.0125,0.035,1400,1.25,0,0.003,0.7,0.65,2.338116631093418,70135200.0
20,0.0125,0.035,1400,1.5,0,0.003,0.7,0.65,2.362412511758773,47955600.0
20,0.0125,0.035,1400,1.75,0,0.003,0.7,0.65,2.3779281875238696,43164000.0
20,0.0125,0.035,1400,2.0,0,0.003,0.7,0.65,2.3905556817887295,40622400.0
20,0.0125,0.035,1400,2.25,0,0.003,0.7,0.65,2.399207161375346,38469600.0
20,0.0125,0.035,1400,2.5,0,0.003,0.7,0.65,2.4101437802049084,37044000.0
20,0.0125,0.035,1400,2.75,0,0.003,0.7,0.65,2.418523701748024,34002000.0
20,0.0125,0.035,1400,3.0,0,0.003,0.7,0.65,2.4265016004789306,29170800.0
20,0.015,0.035,1400,0.25,0,0.003,0.7,0.65,2.077309321476438,398858400.0
20,0.015,0.035,1400,0.5,0,0.003,0.7,0.65,2.2427448991348298,171763200.0
20,0.015,0.035,1400,0.75,0,0.003,0.7,0.65,2.3065560235011175,107154000.0
20,0.015,0.035,1400,1.0,0,0.003,0.7,0.65,2.347132180426375,77770800.0
20,0.015,0.035,1400,1.25,0,0.003,0.7,0.65,2.3723553461649254,70218000.0
20,0.015,0.035,1400,1.5,0,0.003,0.7,0.65,2.3962678522730325,48132000.0
20,0.015,0.035,1400,1.75,0,0.003,0.7,0.65,2.413279783305106,43207200.0
20,0.015,0.035,1400,2.0,0,0.003,0.7,0.65,2.427847067729514,40665600.0
20,0.015,0.035,1400,2.25,0,0.003,0.7,0.65,2.438163805559328,38473200.0
20,0.015,0.035,1400,2.5,0,0.003,0.7,0.65,2.446157588461144,37083600.0
20,0.015,0.035,1400,2.75,0,0.003,0.7,0.65,2.452969523808322,33919200.0
20,0.015,0.035,1400,3.0,0,0.003,0.7,0.65,2.4648553037016545,29214000.0
20,0.0175,0.035,1400,0.25,0,0.003,0.7,0.65,2.1111676323134714,421002000.0
20,0.0175,0.035,1400,0.5,0,0.003,0.7,0.65,2.2759638592901896,173239200.0
20,0.0175,0.035,1400,0.75,0,0.003,0.7,0.65,2.3430728392735283,108003600.0
20,0.0175,0.035,1400,1.0,0,0.003,0.7,0.65,2.3834400354234146,78890400.0
20,0.0175,0.035,1400,1.25,0,0.003,0.7,0.65,2.407070771683557,70394400.0
20,0.0175,0.035,1400,1.5,0,0.003,0.7,0.65,2.4327374113229703,48222000.0
20,0.0175,0.035,1400,1.75,0,0.003,0.7,0.65,2.4485632639871318,43214400.0
20,0.0175,0.035,1400,2.0,0,0.003,0.7,0.65,2.4632251026025056,40669200.0
20,0.0175,0.035,1400,2.25,0,0.003,0.7,0.65,2.4773057847176614,39106800.0
20,0.0175,0.035,1400,2.5,0,0.003,0.7,0.65,2.486448319454186,37803600.0
20,0.0175,0.035,1400,2.75,0,0.003,0.7,0.65,2.493988712545985,34005600.0
20,0.0175,0.035,1400,3.0,0,0.003,0.7,0.65,2.4996313959071945,29214000.0
20,0.02,0.035,1400,0.25,0,0.003,0.7,0.65,2.1418236947591214,450421200.0
20,0.02,0.035,1400,0.5,0,0.003,0.7,0.65,2.3111161270567506,193500000.0
20,0.02,0.035,1400,0.75,0,0.003,0.7,0.65,2.3794080673777382,108360000.0
20,0.02,0.035,1400,1.0,0,0.003,0.7,0.65,2.419508852244808,79668000.0
20,0.02,0.035,1400,1.25,0,0.003,0.7,0.65,2.448673150282846,71164800.0
20,0.02,0.035,1400,1.5,0,0.003,0.7,0.65,2.4665834149057737,57294000.0
20,0.02,0.035,1400,1.75,0,0.003,0.7,0.65,2.487504342045581,43214400.0
20,0.02,0.035,1400,2.0,0,0.003,0.7,0.65,2.5000083494706518,40705200.0
20,0.02,0.035,1400,2.25,0,0.003,0.7,0.65,2.5130974869447495,39150000.0
20,0.02,0.035,1400,2.5,0,0.003,0.7,0.65,2.526056160506019,37936800.0
20,0.02,0.035,1400,2.75,0,0.003,0.7,0.65,2.5357358787329405,34178400.0
20,0.02,0.035,1400,3.0,0,0.003,0.7,0.65,2.5405287197427167,29257200.0
20,0.0225,0.035,1400,0.25,0,0.003,0.7,0.65,2.1760446468495314,467258400.0
20,0.0225,0.035,1400,0.5,0,0.003,0.7,0.65,2.3490554579192335,196005600.0
20,0.0225,0.035,1400,0.75,0,0.003,0.7,0.65,2.4159692427230413,109566000.0
20,0.0225,0.035,1400,1.0,0,0.003,0.7,0.65,2.455920498784083,85960800.0
20,0.0225,0.035,1400,1.25,0,0.003,0.7,0.65,2.4858891598682895,71222400.0
20,0.0225,0.035,1400,1.5,0,0.003,0.7,0.65,2.5051402091046477,59760000.0
20,0.0225,0.035,1400,1.75,0,0.003,0.7,0.65,2.5256669004368266,43254000.0
20,0.0225,0.035,1400,2.0,0,0.003,0.7,0.65,2.541738415101108,40748400.0
20,0.0225,0.035,1400,2.25,0,0.003,0.7,0.65,2.550600755529062,39240000.0
20,0.0225,0.035,1400,2.5,0,0.003,0.7,0.65,2.5633975062402254,37976400.0
20,0.0225,0.035,1400,2.75,0,0.003,0.7,0.65,2.574162766032228,34185600.0
20,0.0225,0.035,1400,3.0,0,0.003,0.7,0.65,2.585849851173303,29347200.0
20,0.025,0.035,1400,0.25,0,0.003,0.7,0.65,2.2071194639654546,497797200.0
20,0.025,0.035,1400,0.5,0,0.003,0.7,0.65,2.385445608781642,197528400.0
20,0.025,0.035,1400,0.75,0,0.003,0.7,0.65,2.455654377553277,115545600.0
20,0.025,0.035,1400,1.0,0,0.003,0.7,0.65,2.4919179197098194,91548000.0
20,0.025,0.035,1400,1.25,0,0.003,0.7,0.65,2.5250648544540155,71298000.0
20,0.025,0.035,1400,1.5,0,0.003,0.7,0.65,2.546340226896929,61610400.0
20,0.025,0.035,1400,1.75,0,0.003,0.7,0.65,2.5602598085211117,43300800.0
20,0.025,0.035,1400,2.0,0,0.003,0.7,0.65,2.581186080497822,40755600.0
20,0.025,0.035,1400,2.25,0,0.003,0.7,0.65,2.591155373596163,39283200.0
20,0.025,0.035,1400,2.5,0,0.003,0.7,0.65,2.6024146253287905,37980000.0
20,0.025,0.035,1400,2.75,0,0.003,0.7,0.65,2.613594827176388,34228800.0
20,0.025,0.035,1400,3.0,0,0.003,0.7,0.65,2.6225958942054794,29347200.0
20,0.0275,0.035,1400,0.25,0,0.003,0.7,0.65,2.2404656164717984,529833600.0
20,0.0275,0.035,1400,0.5,0,0.003,0.7,0.65,2.4227629298110145,198777600.0
20,0.0275,0.035,1400,0.75,0,0.003,0.7,0.65,2.4966677634076406,126108000.0
20,0.0275,0.035,1400,1.0,0,0.003,0.7,0.65,2.532099941879528,95486400.0
20,0.0275,0.035,1400,1.25,0,0.003,0.7,0.65,2.5613625283239863,71380800.0
20,0.0275,0.035,1400,1.5,0,0.003,0.7,0.65,2.586287646264399,62082000.0
20,0.0275,0.035,1400,1.75,0,0.003,0.7,0.65,2.6007816714358922,43347600.0
20,0.0275,0.035,1400,2.0,0,0.003,0.7,0.65,2.6147197139120877,40802400.0
20,0.0275,0.035,1400,2.25,0,0.003,0.7,0.65,2.6313342165787748,39326400.0
20,0.0275,0.035,1400,2.5,0,0.003,0.7,0.65,2.643067626773014,38030400.0
20,0.0275,0.035,1400,2.75,0,0.003,0.7,0.65,2.6533436911009076,34315200.0
20,0.0275,0.035,1400,3.0,0,0.003,0.7,0.65,2.662267562424529,30337200.0
20,0.03,0.035,1400,0.25,0,0.003,0.7,0.65,2.2741461017834568,594327600.0
20,0.03,0.035,1400,0.5,0,0.003,0.7,0.65,2.459938699565075,199980000.0
20,0.03,0.035,1400,0.75,0,0.003,0.7,0.65,2.5323012096413584,131216400.0
20,0.03,0.035,1400,1.0,0,0.003,0.7,0.65,2.573852519862245,97948800.0
20,0.03,0.035,1400,1.25,0,0.003,0.7,0.65,2.600853773696783,71424000.0
20,0.03,0.035,1400,1.5,0,0.003,0.7,0.65,2.6248404498129836,62442000.0
20,0.03,0.035,1400,1.75,0,0.003,0.7,0.65,2.6437891137226885,43351200.0
20,0.03,0.035,1400,2.0,0,0.003,0.7,0.65,2.6541203942718927,40842000.0
20,0.03,0.035,1400,2.25,0,0.003,0.7,0.65,2.6699931369171597,39326400.0
20,0.03,0.035,1400,2.5,0,0.003,0.7,0.65,2.6816549595639714,38066400.0
20,0.03,0.035,1400,2.75,0,0.003,0.7,0.65,2.6942675908298597,34358400.0
20,0.03,0.035,1400,3.0,0,0.003,0.7,0.65,2.7037451350709496,30423600.0
